sl.no,Date and Time,,vehicle_number
,
0,Thu Mar 25 11:58:38 2021,
,date,
0,Thu Mar 25 12:00:03 2021,
,date,
0,Thu Mar 25 12:00:12 2021,MH1IZDE1433
,date,
0,Thu Mar 25 12:01:13 2021,
,date,
0,Thu Mar 25 12:01:28 2021,
,date,
0,Thu Mar 25 12:01:43 2021,
,date,
0,Thu Mar 25 12:07:00 2021,
,date,
0,Thu Mar 25 12:15:47 2021,MH1IZDE1433
,date,
0,Thu Mar 25 12:16:00 2021,
,date,
0,Thu Mar 25 12:16:10 2021,MH20EJ0364
,date,
0,Fri Mar 26 15:51:06 2021,MH20EJ0364
,date,
0,Fri Mar 26 15:51:29 2021,AP09BN7886
,date,
0,Sat Mar 27 11:11:19 2021,AP09BN7886
,date,
0,Sat Mar 27 11:11:34 2021,MH1IZDE1433
,date,
0,Sat Mar 27 11:13:54 2021,
,date,
0,Sat Mar 27 11:14:59 2021,
,date,
0,Sat Mar 27 11:17:14 2021,
,date,
0,Sat Mar 27 11:17:28 2021,
,date,
0,Sat Mar 27 11:18:20 2021,AP09BN7886
,date,
0,Sat Mar 27 11:18:43 2021,MH1IZDE1433
,date,
0,Sun Mar 28 15:44:59 2021,MH1IZDE1433
,date,
0,Sun Mar 28 15:47:55 2021,MH1IZDE1433
,date,
0,Sun Mar 28 15:48:35 2021,AP09BN7886
,date,
0,Sun Mar 28 16:23:43 2021,AP09BN7886
,date,
0,Sun Mar 28 16:24:47 2021,
,date,
0,Sun Mar 28 16:25:16 2021,
,date,
0,Sun Mar 28 16:25:21 2021,
,date,
0,Sun Mar 28 16:26:10 2021,HR26DK8337
,date,
0,Sun Mar 28 16:28:33 2021,HR26DK8337
,date,
0,Sun Mar 28 16:31:14 2021,HR26DK8337
,date,
0,Sun Mar 28 16:32:16 2021,HR26DK8337
,date,
0,Sun Mar 28 16:36:02 2021,HR26DK8337
,date,
0,Sun Mar 28 17:26:09 2021,AP09BN7886
,date,
0,Sun Mar 28 17:35:56 2021,
,date,
0,Sun Mar 28 17:37:10 2021,
,date,
0,Sun Mar 28 17:38:25 2021,AP09BN7886
,date,
0,Sun Mar 28 23:45:56 2021,
,date,
0,Mon Mar 29 00:27:01 2021,
,date,
0,Mon Mar 29 00:27:20 2021,
,date,
0,Mon Mar 29 00:27:39 2021,
,date,
0,Mon Mar 29 00:27:57 2021,
,date,
0,Mon Mar 29 00:28:12 2021,
,date,
0,Mon Mar 29 00:28:28 2021,
,date,
0,Tue Mar 30 14:21:01 2021,
,date,
0,Tue Mar 30 14:22:11 2021,
,date,
0,Tue Mar 30 14:22:40 2021,
,date,
0,Tue Mar 30 14:22:51 2021,
,date,
0,Tue Mar 30 14:23:00 2021,
,date,
0,Tue Mar 30 14:23:14 2021,
,date,
0,Tue Mar 30 14:23:26 2021,
,date,
0,Tue Mar 30 14:23:42 2021,
,date,
0,Tue Mar 30 14:23:53 2021,
,date,
0,Tue Mar 30 14:24:01 2021,KLO7BF5000
,date,
0,Tue Mar 30 14:24:11 2021,HR26DA2330
,date,
0,Tue Mar 30 14:24:19 2021,
,date,
0,Tue Mar 30 14:24:45 2021,NHO4DW8351
,date,
0,Tue Mar 30 14:25:29 2021,
,date,
0,Tue Mar 30 14:25:39 2021,
,date,
0,Tue Mar 30 14:26:17 2021,NHO4DW8351
,date,
0,Tue Mar 30 14:26:51 2021,
,date,
0,Tue Mar 30 14:26:59 2021,
,date,
0,Tue Mar 30 14:27:08 2021,
,date,
0,Tue Mar 30 14:27:15 2021,
,date,
0,Tue Mar 30 14:27:23 2021,KLO7BF5000
,date,
0,Tue Mar 30 14:27:44 2021,HR26DA2330
,date,
0,Tue Mar 30 14:28:02 2021,
,date,
0,Tue Mar 30 14:28:14 2021,
,date,
0,Tue Mar 30 14:28:23 2021,
,date,
0,Tue Mar 30 14:30:11 2021,
,date,
0,Tue Mar 30 14:30:21 2021,
,date,
0,Tue Mar 30 14:30:42 2021,
,date,
0,Tue Mar 30 14:30:57 2021,
,date,
0,Tue Mar 30 14:33:18 2021,
,date,
